Yr1996,Yr1997,Yr1998,Yr1999,Yr2000,Yr2001,Yr2002,Yr2003,Yr2004,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,,
"72,180","79,482","86,500","96,902","108,527","119,436","138,370","156,505","178,899","189,983","204,235","219,804","217,192","213,490","236,086","232,770","238,406",,https://www.data.gov.uk/dataset/cace4ffc-e6f0-4577-8a2c-3e6fd2881909/mean-house-prices-land-registry
"73,117","80,599","87,778","98,385","110,589","121,769","141,108","159,357","181,330","192,247","206,715","222,619","220,310","216,493","240,033","236,685","242,494",,
"51,635","56,366","57,891","59,463","62,993","67,684","74,831","94,115","118,842","130,559","133,195","141,345","142,039","141,966","143,963","137,103","134,475",,
"47,644","51,438","51,621","55,529","57,411","58,405","65,945","81,512","103,895","116,666","124,366","126,910","126,096","122,477","127,949","121,513","120,825",,
"45,253","47,552","49,765","54,255","53,430","55,017","60,009","73,791","79,161","92,654","110,168","123,388","122,516","117,570","121,374","121,795","121,377",,
"47,499","49,102","57,516","49,681","50,440","53,234","58,691","68,741","87,893","100,994","115,917","118,821","113,312","118,709","115,379","113,098","120,479",,
"61,575","65,317","66,686","72,270","75,697","81,330","95,052","115,526","141,409","153,796","165,140","178,371","181,190","170,912","180,428","169,904","167,730",,
"47,387","49,805","51,149","51,503","54,814","58,819","68,486","83,004","99,528","114,857","125,995","130,638","125,666","126,145","127,113","122,293","125,205",,
"54,972","57,395","58,634","62,464","65,786","71,179","80,149","98,410","119,795","131,954","143,160","151,487","147,069","146,393","147,660","137,795","146,074",,
"50,340","53,114","56,641","58,667","61,814","67,533","79,549","100,952","122,013","130,028","140,177","144,723","144,606","144,069","147,204","139,985","142,799",,
"46,943","48,101","51,154","51,465","56,295","63,334","72,388","94,138","113,215","121,167","129,095","134,601","132,694","134,457","133,667","131,576","132,696",,
"55,292","59,030","65,866","68,618","74,129","82,836","97,960","124,269","146,744","152,463","163,790","169,822","176,544","170,585","173,266","164,415","169,107",,
"51,350","54,962","58,115","60,127","61,764","63,872","78,577","102,066","127,100","135,825","146,679","150,005","146,413","147,099","157,749","148,255","151,790",,
"48,091","50,237","52,226","54,937","56,551","61,744","68,313","85,989","108,232","118,918","127,319","134,606","128,138","129,837","134,608","124,865","124,347",,
"47,503","49,372","51,305","53,299","55,064","59,891","71,123","88,944","107,720","115,176","123,439","129,874","126,967","121,388","125,672","119,789","123,252",,
"40,279","41,879","44,422","47,508","49,982","51,800","57,126","67,108","84,889","96,912","108,584","118,730","115,688","114,200","114,755","111,052","115,172",,
"44,705","46,321","48,360","50,773","53,094","60,148","65,841","81,091","103,396","116,306","121,991","127,588","123,774","111,315","113,232","106,218","102,666",,
0,0,0,0,0,0,0,0,0,0,0,0,"223,252","212,059","231,940","217,462","214,341",,
0,0,0,0,0,0,0,0,0,0,0,0,"196,188","193,164","198,398","190,367","192,797",,
